D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
A,picture quality[+],"i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine )" 
A,camera[+] use[+] feature[+],"bottom line  well made camera  easy to use  very flexible and powerful features to include the ability to use external flash and lense / filters choices" 
A,picture quality[+] use[+] option[+],"i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like" 
A,camera[+],"this is my first digital camera  and what a ' toy ' it is ! 
A,picture[+],"just a little overview  powershot g3 is the flagship of canon 's powershot series and its an slr-like camera  its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance" 
A,use[+],"whether you are a novice or an expert  its ease of use and functionality goes together" 
A,dial[-],", main dial is not backlit" 
A,viewfinder[-],", lens visible in optical viewfinder" 
A,camera[+][p],"overall i 'm happy with my toy" 
A,[t]canon g3 ? incredible camera 
A,camera[+],"in a word  " awesome " is how i would describe this camera" 
A,speed[+]picture quality[+]function[+],"i wo n't go into the details here  as the online sites ( stevesdigicams  dpreviews ) go into great depth in their reviews  but i am very pleased with the features  the speed  the picture quality  the flexibility  the automation  and the functional conveniences this camera offers" 
A,auto setting[+],"with the automatic settings  i really have n't taken a bad picture yet" 
A,camera[+],"i am absolutely in awe of this camera  canon put enormous quality into the g3" 
A,canon g3[+],"i bought my canon g3 about a month ago and i have to say i am very satisfied" 
A,photo quality[+],"i have taken hundreds of photos with it and i continue to be amazed by their quality" 
A,feature[+],"the g3 is loaded with many useful features  and unlike many smaller digital cameras  it is easy to hold steady when using slower shutter speeds" 
A,viewfinder[-],"the lens is visible in the viewfinder when the lens is set to the wide angle  but since i use the lcd most of the time  this is not really much of a bother to me" 
A,camera[+],"despite this minor disappointment  i highly recommend the canon g3 anyone who is serious about digital photography" 
A,camera[+],"i have only had this camera for one full day and i have to say that it is wonderful" 
A,photo quality[+],"the photo quality is amazing and i know i 'm going to have fun with all the features" 
A,darn diopter adjustment dial[-],"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is  it is to adjust the focus of the viewfinder to your eyesight" ) 
A,exposure control[+]auto setting[+],"1 ) slr like programming and exposure control gives you latitude to be creative  yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings" 
A,metering option[+],"excellent range of metering options as well" 
A,spot metering[+],"it 's great to switch to spot metering and actually see it working on the lcd screen" 
A,4mp[+],"2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ) 
A,zoom[+],"3 ) 4x zoom is nice 
A,focus[+],"5 ) its focusing system is also very flexible" 
A,focus[+],"you can move the focus range to almost anywhere in the scene with the push of a button  and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus" 
A,size[-][u]weight[-][u],"1 ) quite bulky ( it 's about the same size as my minolta vectis s- aps slr ) and uses a heavy battery  although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) 
A,design[-][u],"2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) 
A,viewfinder[-],"4 ) the viewfinder is borderuer lcd scoying" 
A,feature[+] ,"the camera has a wonderful set of features" 
A,lcd[+],"the lcd screen pulls out and rotates in any direction for easy pictures" 
A,optical zoom[+]digital zoom[+],"the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry" 
A,picture[+],"the highest optical zoom pictures are perfect" 
A,picture[+],"i have not yet seen any of the usual problems with digital pictures ( purple fringing  etc ) so i am very pleased" 
A,software[+],"the canon computer software used to download  sort  upload and manage your digital pictures on the computer is very nice and very easy to use" 
A,lens cap[-]viewfinder[-],"the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd )" 
A,menu[+]button[+],"the menus are easy to navigate and the buttons are easy to use" 
A,camera[+],"it is a fantastic camera and well worth the price" 
A,camera[+],"recent price drops have made the g3 the best bargain in digital cameras currently available" 
A,control[+],"advanced photobugs will find more creative control than imaginable" 
A,auto setting[+],"newbies will find the full auto setting will give them perfect pictures right out of the box" 
A,photo quality[+],"4 megapixels is enough for anybody and the photo quality is awesome" 
A,use[+][u],"those used to 35mm cameras will find the g3 very comfortable and friendly to use" 
A,zoom[+]lense[+],"the extended zoom range and faster lense put it at the top of it 's class" 
A,camera[+],"i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! 
A,picture[+] control[+] battery[+] software[+],"it gives great pictures  the controls are easy to use  the battery lasts forever on one single charge  the software is very user-friendly and it is beautiful in it chrome casing" 
A,photo quality[+] auto mode[+],"i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode" 
A,canera[+],"this camera has canon 's great colorimetry  plus what you see in the lcd is what you get" 
A,print[+],"the prints are beautiful ! 
A,battery[+],"although canon 's batteries are proprietary  they last a really long time  recharge fairly quickly in the camera  plus if you want ' more power '  you can even find a knockoff charger and spare batteries right here on amazon" 
A,[t]if you love an slr 35mm but need to go digital 
A,camera[+],"this is a great camera for you ! 
A,control[+]auto mode[+],"the canon g3 gives tons of control for photo buffs but still has an " auto " mode that makes it very easy for the novice to use" 
A,control[+],"i love having the option to manually control the f-stop  shutter speed and even focus" 
A,photo[+],"i was able to take great photos of the 4th of july fire works  and got some amazing shots of the kids playing with sparklers" 
A,control[+],"but if you 've used a slr 35mm camera  the controls are very intuitive ! 
A,dial[+],"with a quick spin of the dial you can select shutter priority ( for high speed subjects )  aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality" 
